basename,songLengthMs,bSP,BSP,DSP,ESP,CSP,bDP,BDP,DDP,EDP,CDP
aaaa,100026,20 23 7 0 0,29 28 5 13 0,48 40 3 11 13,65 46 7 14 34,65 57 83 12 37,,29 28 9 6 0,42 34 3 13 9,63 46 3 14 28,64 51 47 14 33
aaaa2,91942,23 19 0 0 0,40 45 20 8 0,59 51 54 8 23,83 70 16 8 92,,,40 45 20 8 0,59 51 58 8 22,79 70 16 8 70,
aaro,87816,15 14 0 0 0,22 24 14 0 0,39 29 14 0 6,53 48 5 0 46,,,16 14 0 0 0,34 24 0 0 2,46 34 0 0 12,
abil,95065,11 12 1 14 0,28 25 20 38 0,63 51 32 22 29,114 101 12 53 108,,,31 25 14 22 0,64 51 21 23 26,117 101 10 56 110,
abma,118054,14 23 7 31 0,41 46 27 34 3,83 77 29 23 50,116 107 69 21 103,,,42 46 20 31 4,84 77 21 22 47,105 107 52 20 101,
abri,111485,13 19 1 0 0,27 25 3 23 0,39 38 10 52 4,47 51 16 70 10,65 71 10 27 37,,29 32 1 37 0,40 45 20 58 2,52 51 25 45 14,67 71 18 41 38
abs2,100559,,26 28 25 37 0,46 46 16 84 12,55 46 12 48 22,,,26 34 25 37 0,46 46 16 85 12,55 46 12 52 23,
abso,104550,23 23 14 0 0,27 23 0 0 0,48 46 32 0 10,59 46 7 0 28,,,25 29 14 0 0,41 40 10 0 7,57 52 20 0 31,
abyl,85118,,26 26 16 42 0,50 53 56 69 7,89 73 29 13 73,,,28 40 12 22 0,49 60 76 12 4,64 73 67 49 39,
abys,99297,23 23 14 0 0,33 28 1 0 0,47 46 18 0 8,62 46 0 0 25,,,34 46 12 0 0,46 46 20 0 7,62 46 0 0 25,
acef,113100,18 25 3 22 0,50 58 14 42 1,76 95 27 31 96,113 159 36 19 104,172 260 80 28 168,,50 58 14 42 1,69 80 12 35 76,111 159 21 25 105,189 247 54 28 181
aceo,118559,17 17 9 8 0,33 29 7 15 0,49 47 18 19 12,74 82 34 18 79,88 70 109 28 63,,33 29 7 12 0,50 47 14 22 11,73 82 20 23 69,100 94 118 28 78
acid,96653,12 28 5 10 0,27 37 14 42 0,61 74 14 24 14,86 110 27 35 69,148 143 32 27 108,,27 37 7 42 0,59 74 7 29 14,85 110 23 34 65,167 143 23 26 109
acol,88252,15 13 9 3 0,26 25 10 31 0,55 51 10 19 15,77 64 20 36 66,,,26 38 10 23 0,56 51 21 32 16,74 64 12 41 61,
acro,82200,41 50 14 0 0,49 50 23 0 2,66 62 18 21 9,74 100 70 15 18,90 100 83 0 29,,49 50 25 0 2,66 62 23 15 9,74 100 50 22 16,88 100 81 0 26
actu,104229,27 29 14 15 0,50 43 21 35 5,81 73 20 21 41,136 108 27 23 110,180 108 10 3 119,,48 43 21 23 4,78 73 18 21 38,135 94 16 23 109,241 108 1 6 129
acwo,101189,14 15 5 0 0,20 23 1 54 0,46 46 10 2 1,71 61 25 2 21,82 111 81 52 79,,20 23 1 54 0,46 46 10 2 1,71 61 25 2 21,79 84 54 57 63
adre,83393,22 23 10 0 0,33 29 10 0 0,44 41 20 0 12,60 47 9 0 24,,,35 41 16 0 0,42 41 45 0 6,49 47 36 0 19,
adrn,97714,8 10 5 0 0,24 20 7 27 0,49 40 49 8 26,109 102 30 24 118,,,25 20 5 27 0,52 40 27 10 30,111 95 23 22 121,
adul,116000,23 30 0 8 0,32 30 5 38 0,49 60 32 41 13,73 82 20 51 56,,,32 30 7 48 0,48 52 16 38 10,67 67 10 32 34,
aeth,119383,36 55 14 15 0,62 104 36 31 3,92 118 56 23 14,132 132 87 13 43,,,61 104 34 31 3,92 104 49 22 14,138 132 81 14 40,
afda,118966,17 38 5 24 0,33 48 21 47 0,52 58 10 71 17,76 96 56 53 65,,,36 38 20 36 0,52 58 12 59 16,74 96 47 34 61,
aflk,111851,14 15 5 0 0,22 25 9 0 0,41 41 30 12 13,59 61 21 76 36,79 82 43 44 100,,22 25 9 0 0,40 41 36 12 12,55 51 34 81 31,76 82 29 49 85
afro,82800,26 33 0 0 0,51 58 56 0 1,58 66 74 0 5,89 66 78 0 34,,,56 66 50 0 4,59 66 70 0 7,86 66 61 0 29,
afro3,91200,34 33 5 0 0,,,,77 66 40 14 21,,,,,77 66 36 10 21
afrx,82800,26 33 0 0 0,,,,95 66 76 37 41,,,,,97 83 72 13 44
afte,93089,8 8 9 0 0,15 17 0 0 0,36 35 16 0 6,44 39 29 0 14,,,24 21 1 0 0,35 35 16 0 6,44 39 27 0 14,
aftm,129600,19 25 10 11 0,49 58 12 46 6,74 66 16 58 27,113 108 14 36 101,,,49 58 9 48 5,71 66 18 57 22,106 104 16 36 95,
aftr,112732,22 26 9 0 0,25 39 5 103 0,53 52 20 87 15,79 85 25 48 92,,,23 52 9 102 0,53 52 20 84 15,75 85 25 45 67,
agai,90800,26 25 16 0 0,42 37 20 0 0,51 50 34 0 11,67 62 49 0 30,,,39 37 25 0 0,51 43 9 0 10,61 43 20 0 21,
agir,99698,15 16 1 0 0,24 27 3 29 0,41 37 10 67 8,58 43 16 63 32,,,22 21 5 35 0,48 32 1 39 12,50 37 7 54 21,
ahla,92314,18 21 0 0 0,28 21 3 57 0,35 32 30 45 9,69 54 10 20 53,,,29 21 3 48 0,36 32 25 45 9,63 48 9 33 41,
aiai,96000,28 31 3 23 0,61 63 36 44 9,75 63 47 40 25,99 101 80 58 98,,,61 63 34 44 9,73 63 41 40 23,92 79 69 56 68,
aiko,113868,21 22 7 26 0,34 45 18 26 0,43 40 23 26 7,63 45 21 25 29,,,34 45 12 21 0,44 40 7 24 8,65 45 7 28 27,
aino,94973,16 15 1 20 0,35 39 12 33 0,55 46 10 39 8,71 62 14 31 21,,,35 39 10 33 0,53 46 10 39 7,67 62 14 31 17,
airh,93262,22 21 1 0 0,54 51 32 67 8,65 58 21 62 21,103 108 25 36 100,162 108 29 56 113,,54 51 29 46 8,68 58 29 54 20,100 108 14 35 100,168 108 5 57 114
airr,74772,23 21 10 0 0,40 32 40 0 0,47 32 5 3 7,58 43 16 26 19,,,31 32 14 0 0,49 37 12 14 9,58 43 34 27 18,
aisi,118285,16 17 5 12 0,32 29 20 22 0,61 46 7 14 28,107 81 5 4 106,,,32 29 20 22 0,60 46 9 15 26,103 75 3 4 106,
